18-7-1 23:30:22.8|Info|MigrationLogger|*** 35: add_series_folder_format_to_naming_config migrating ***
18-7-1 23:30:22.8|Info|add_series_folder_format_to_naming_config|Starting migration to 35
18-7-1 23:30:22.9|Info|MigrationLogger|*** 36: update_with_quality_converters migrating ***
18-7-1 23:30:22.9|Info|update_with_quality_converters|Starting migration to 36
18-7-1 23:30:22.9|Info|MigrationLogger|*** 37: add_configurable_qualities migrating ***
18-7-1 23:30:22.9|Info|add_configurable_qualities|Starting migration to 37
18-7-1 23:30:22.9|Info|MigrationLogger|*** 38: add_on_upgrade_to_notifications migrating ***
18-7-1 23:30:22.9|Info|add_on_upgrade_to_notifications|Starting migration to 38
18-7-1 23:30:22.9|Info|MigrationLogger|*** 39: add_metadata_tables migrating ***
18-7-1 23:30:22.9|Info|add_metadata_tables|Starting migration to 39
18-7-1 23:30:23.0|Info|MigrationLogger|*** 40: add_metadata_to_episodes_and_series migrating ***
18-7-1 23:30:23.0|Info|add_metadata_to_episodes_and_series|Starting migration to 40
18-7-1 23:30:23.0|Info|MigrationLogger|*** 41: fix_xbmc_season_images_metadata migrating ***
18-7-1 23:30:23.0|Info|fix_xbmc_season_images_metadata|Starting migration to 41
18-7-1 23:30:23.0|Info|MigrationLogger|*** 42: add_download_clients_table migrating ***
18-7-1 23:30:23.0|Info|add_download_clients_table|Starting migration to 42
18-7-1 23:30:23.0|Info|MigrationLogger|*** 43: convert_config_to_download_clients migrating ***
18-7-1 23:30:23.0|Info|convert_config_to_download_clients|Starting migration to 43
18-7-1 23:30:23.0|Info|MigrationLogger|*** 44: fix_xbmc_episode_metadata migrating ***
18-7-1 23:30:23.0|Info|fix_xbmc_episode_metadata|Starting migration to 44
18-7-1 23:30:23.0|Info|MigrationLogger|*** 45: add_indexes migrating ***
18-7-1 23:30:23.0|Info|add_indexes|Starting migration to 45
18-7-1 23:30:23.1|Info|MigrationLogger|*** 46: fix_nzb_su_url migrating ***
18-7-1 23:30:23.1|Info|fix_nzb_su_url|Starting migration to 46
18-7-1 23:30:23.1|Info|MigrationLogger|*** 47: add_temporary_blacklist_columns migrating ***
18-7-1 23:30:23.1|Info|add_temporary_blacklist_columns|Starting migration to 47
18-7-1 23:30:23.2|Info|MigrationLogger|*** 48: add_title_to_scenemappings migrating ***
18-7-1 23:30:23.2|Info|add_title_to_scenemappings|Starting migration to 48
18-7-1 23:30:23.2|Info|MigrationLogger|*** 49: fix_dognzb_url migrating ***
18-7-1 23:30:23.2|Info|fix_dognzb_url|Starting migration to 49
18-7-1 23:30:23.2|Info|MigrationLogger|*** 50: add_hash_to_metadata_files migrating ***
18-7-1 23:30:23.2|Info|add_hash_to_metadata_files|Starting migration to 50
18-7-1 23:30:23.2|Info|MigrationLogger|*** 51: download_client_import migrating ***
18-7-1 23:30:23.2|Info|download_client_import|Starting migration to 51
18-7-1 23:30:23.2|Info|MigrationLogger|*** 52: add_columns_for_anime migrating ***
18-7-1 23:30:23.2|Info|add_columns_for_anime|Starting migration to 52
18-7-1 23:30:23.2|Info|MigrationLogger|*** 53: add_series_sorttitle migrating ***
18-7-1 23:30:23.2|Info|add_series_sorttitle|Starting migration to 53
18-7-1 23:30:23.2|Info|MigrationLogger|*** 54: rename_profiles migrating ***
18-7-1 23:30:23.2|Info|rename_profiles|Starting migration to 54
18-7-1 23:30:23.2|Info|MigrationLogger|*** 55: drop_old_profile_columns migrating ***
18-7-1 23:30:23.2|Info|drop_old_profile_columns|Starting migration to 55
18-7-1 23:30:23.2|Info|MigrationLogger|*** 56: add_mediainfo_to_episodefile migrating ***
18-7-1 23:30:23.2|Info|add_mediainfo_to_episodefile|Starting migration to 56
18-7-1 23:30:23.3|Info|MigrationLogger|*** 57: convert_episode_file_path_to_relative migrating ***
18-7-1 23:30:23.3|Info|convert_episode_file_path_to_relative|Starting migration to 57
18-7-1 23:30:23.3|Info|MigrationLogger|*** 58: drop_episode_file_path migrating ***
18-7-1 23:30:23.3|Info|drop_episode_file_path|Starting migration to 58
18-7-1 23:30:23.3|Info|MigrationLogger|*** 59: add_enable_options_to_indexers migrating ***
18-7-1 23:30:23.3|Info|add_enable_options_to_indexers|Starting migration to 59
18-7-1 23:30:23.3|Info|MigrationLogger|*** 60: remove_enable_from_indexers migrating ***
18-7-1 23:30:23.3|Info|remove_enable_from_indexers|Starting migration to 60
18-7-1 23:30:23.3|Info|MigrationLogger|*** 61: clear_bad_scene_names migrating ***
18-7-1 23:30:23.3|Info|clear_bad_scene_names|Starting migration to 61
18-7-1 23:30:23.3|Info|MigrationLogger|*** 62: convert_quality_models migrating ***
18-7-1 23:30:23.3|Info|convert_quality_models|Starting migration to 62
18-7-1 23:30:23.3|Info|MigrationLogger|*** 63: add_remotepathmappings migrating ***
18-7-1 23:30:23.3|Info|add_remotepathmappings|Starting migration to 63
18-7-1 23:30:23.3|Info|MigrationLogger|*** 64: remove_method_from_logs migrating ***
18-7-1 23:30:23.3|Info|remove_method_from_logs|Starting migration to 64
18-7-1 23:30:23.4|Info|MigrationLogger|*** 65: make_scene_numbering_nullable migrating ***
18-7-1 23:30:23.4|Info|make_scene_numbering_nullable|Starting migration to 65
